eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus
IYS2022-002-114,IYS2022-002-114-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-12T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-118,IYS2022-002-118-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-12T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-125,IYS2022-002-125-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-14T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-134,IYS2022-002-134-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-15T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-139,IYS2022-002-139-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-15T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-143,IYS2022-002-143-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-16T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-148,IYS2022-002-148-3R5,Aequorea,urn:lsid:marinespecies.org:taxname:116998,"Péron & Lesueur, 1810",accepted,Genus,Water Jellyfish,NA,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,2022-03-19T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-009,IYS2022-002-009-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,39,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-013,IYS2022-002-013-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,50,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-017,IYS2022-002-017-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,99,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
